Year,Plot,Transect,Quadrat,Germinant_Count,Veg_Cover,GSF,Germ_AT,Germ_PPT,Germ_ATmax,Germ_ATmin,Winter_AT,Winter_PPT,AprJun_AT,AprJun_PPT,Summer_ATmax,Summer_PPT,BA
1,1,1,1,0,30,0.0331,12.53794174,51.5,18.39166667,5.65,3.971258793,363.5281697,9.015544355,421.7807502,24.47916667,29.39149638,0.140184933
1,1,1,2,0,12,0.043,12.53794174,51.5,18.39166667,5.65,3.971258793,363.5281697,9.015544355,421.7807502,24.47916667,29.39149638,0.140184933
1,1,1,3,0,35,0.073,12.53794174,51.5,18.39166667,5.65,3.971258793,363.5281697,9.015544355,421.7807502,24.47916667,29.39149638,0.140184933
1,1,1,4,0,20,0.0642,12.53794174,51.5,18.39166667,5.65,3.971258793,363.5281697,9.015544355,421.7807502,24.47916667,29.39149638,0.258202788
1,1,1,5,1,30,0.0883,12.53794174,51.5,18.39166667,5.65,3.971258793,363.5281697,9.015544355,421.7807502,24.47916667,29.39149638,0.266056769
1,1,1,6,0,30,0.0407,12.53794174,51.5,18.39166667,5.65,3.971258793,363.5281697,9.015544355,421.7807502,24.47916667,29.39149638,0.251426372
1,1,1,7,0,40,0.0972,12.53794174,51.5,18.39166667,5.65,3.971258793,363.5281697,9.015544355,421.7807502,24.47916667,29.39149638,0.298803946
1,1,1,8,0,25,0.0478,12.53794174,51.5,18.39166667,5.65,3.971258793,363.5281697,9.015544355,421.7807502,24.47916667,29.39149638,0.255430332
1,1,1,9,0,30,0.0534,12.53794174,51.5,18.39166667,5.65,3.971258793,363.5281697,9.015544355,421.7807502,24.47916667,29.39149638,0.253387512
1,1,1,10,0,25,0.0907,12.53794174,51.5,18.39166667,5.65,3.971258793,363.5281697,9.015544355,421.7807502,24.47916667,29.39149638,0.261399358
1,1,1,11,0,25,0.018,12.53794174,51.5,18.39166667,5.65,3.971258793,363.5281697,9.015544355,421.7807502,24.47916667,29.39149638,0.265247809
1,1,1,12,1,20,0.0443,12.53794174,51.5,18.39166667,5.65,3.971258793,363.5281697,9.015544355,421.7807502,24.47916667,29.39149638,0.272945497
1,1,1,13,0,25,0.0485,12.53794174,51.5,18.39166667,5.65,3.971258793,363.5281697,9.015544355,421.7807502,24.47916667,29.39149638,0.232341197
1,1,1,14,3,10,0.042,12.53794174,51.5,18.39166667,5.65,3.971258793,363.5281697,9.015544355,421.7807502,24.47916667,29.39149638,0.237471418
1,1,1,15,0,15,0.0241,12.53794174,51.5,18.39166667,5.65,3.971258793,363.5281697,9.015544355,421.7807502,24.47916667,29.39149638,0.237407801
